t_m, t_s, T_h, T_c, T_1, T_2, T_3, T_4, P, p_h, p_c
00, 00, 23.3, 18.3, 20.8, 22.5, 22.7, 21.3, 0, 3.7, 6
02, 00, 24.7, 17.2, 19.8, 29.1, 28.3, 11.4, 0, 3.5, 6
04, 02, 27.2, 15.2, 13.9, 33.5, 30.8, 8.5, 0, 30, 7.0
06, 00, 29.5, 13.2, 10.6, 36.4, 31.1, 7.4, 0, 2.7, 7.8
08, 00, 31.0, 11.4, 11.9, 38.6, 34.6, 5.6, 0.01, 2.7, 8.0
10, 00, 33.8, 9.9, 10.7, 40.6, 33.6, 4.5, 0.01, 2.5, 8.1
12, 00, 36.4, 7.7, 8.2, 43.2, 35.9, 3.0, 0.01, 2.3, 8.6
14, 00, 37.3, 7.1, 9.5, 44.0, 36.4, 2.8, 0.02, 2.3, 9.1
15, 20, 38.2, 6.1, 9.8, 45.4, 38.1, 3.2, 0.02, 2.3, 9.8
16, 04, 38.9, 5.6, 8.8, 45.9, 37.7, 2.3, 0.02, 2.2, 9.6
18, 00, 40.3, 4.4, 9.5, 47.1, 38.6, 2.0, 0.03, 2.3, 9.6
20, 00, 41.6, 3.3, 9.8, 49.0, 40.0, 2.3, 0.03, 2.2, 10.2
22, 06, 43.0, 2.3, 9.1, 50.2, 41.2, 1.1, 0.03, 2.1, 10.2
24, 02, 44.1, 1.5, 8.7, 51.5, 41.8, 0.8, 0.04, 2.0, 10.6
26, 04, 45.1, 0.5, 8.6, 52.6, 43.0, 0.4, 0.04, 2.0, 11.0
27, 17, 45.7, 0.0, 8.5, 53.3, 43.4, 0.1, 0.04, 1.9, 11.4